timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1668841708056,9463,HTTP Request,200,,client-to-application 1-7,text,true,,11329471,128,10,10,http://172.31.37.100/sensing/data,6608,0,42
1668841708057,9494,HTTP Request,200,,client-to-application 1-1,text,true,,11329471,128,9,9,http://172.31.37.100/sensing/data,7136,0,39
1668841708048,9515,HTTP Request,200,,client-to-application 1-2,text,true,,11329471,128,8,8,http://172.31.37.100/sensing/data,7180,0,48
1668841708056,9559,HTTP Request,200,,client-to-application 1-10,text,true,,11329471,128,7,7,http://172.31.37.100/sensing/data,7023,0,40
1668841708051,9683,HTTP Request,200,,client-to-application 1-9,text,true,,11329471,128,6,6,http://172.31.37.100/sensing/data,7049,0,45
1668841708055,9687,HTTP Request,200,,client-to-application 1-5,text,true,,11329471,128,5,5,http://172.31.37.100/sensing/data,7522,0,41
1668841708057,9685,HTTP Request,200,,client-to-application 1-8,text,true,,11329471,128,5,5,http://172.31.37.100/sensing/data,7059,0,39
1668841708056,9691,HTTP Request,200,,client-to-application 1-6,text,true,,11329471,128,3,3,http://172.31.37.100/sensing/data,6999,0,40
1668841708056,9716,HTTP Request,200,,client-to-application 1-4,text,true,,11329471,128,2,2,http://172.31.37.100/sensing/data,7620,0,40
1668841708057,9713,HTTP Request,200,,client-to-application 1-3,text,true,,11329471,128,2,2,http://172.31.37.100/sensing/data,6923,0,39
1668841760568,6456,HTTP Request,200,,client-to-application 1-2,text,true,,11329471,128,10,10,http://172.31.37.100/sensing/data,4253,0,30
1668841760568,7429,HTTP Request,200,,client-to-application 1-6,text,true,,11329471,128,9,9,http://172.31.37.100/sensing/data,5528,0,31
1668841760570,7443,HTTP Request,200,,client-to-application 1-1,text,true,,11329471,128,9,9,http://172.31.37.100/sensing/data,5538,0,31
1668841760568,7505,HTTP Request,200,,client-to-application 1-9,text,true,,11329471,128,7,7,http://172.31.37.100/sensing/data,5536,0,31
1668841760570,7566,HTTP Request,200,,client-to-application 1-8,text,true,,11329471,128,6,6,http://172.31.37.100/sensing/data,5550,0,32
1668841760570,7616,HTTP Request,200,,client-to-application 1-5,text,true,,11329471,128,5,5,http://172.31.37.100/sensing/data,5624,0,30
1668841760570,7644,HTTP Request,200,,client-to-application 1-10,text,true,,11329471,128,4,4,http://172.31.37.100/sensing/data,5576,0,29
1668841760571,7765,HTTP Request,200,,client-to-application 1-4,text,true,,11329471,128,3,3,http://172.31.37.100/sensing/data,6537,0,29
1668841760570,7810,HTTP Request,200,,client-to-application 1-7,text,true,,11329471,128,2,2,http://172.31.37.100/sensing/data,6482,0,31
1668841760571,7816,HTTP Request,200,,client-to-application 1-3,text,true,,11329471,128,1,1,http://172.31.37.100/sensing/data,6621,0,29
1668842733609,6218,HTTP Request,200,,client-to-application 1-6,text,true,,11329471,128,10,10,http://172.31.37.100/sensing/data,4240,0,33
1668842733611,7416,HTTP Request,200,,client-to-application 1-8,text,true,,11329471,128,9,9,http://172.31.37.100/sensing/data,5612,0,31
1668842733614,7612,HTTP Request,200,,client-to-application 1-1,text,true,,11329471,128,8,8,http://172.31.37.100/sensing/data,6148,0,27
1668842733611,7822,HTTP Request,200,,client-to-application 1-4,text,true,,11329471,128,7,7,http://172.31.37.100/sensing/data,5556,0,31
1668842733614,7937,HTTP Request,200,,client-to-application 1-9,text,true,,11329471,128,6,6,http://172.31.37.100/sensing/data,5507,0,27
1668842733612,7999,HTTP Request,200,,client-to-application 1-2,text,true,,11329471,128,5,5,http://172.31.37.100/sensing/data,5577,0,29
1668842733612,8014,HTTP Request,200,,client-to-application 1-3,text,true,,11329471,128,4,4,http://172.31.37.100/sensing/data,5589,0,29
1668842733611,8084,HTTP Request,200,,client-to-application 1-7,text,true,,11329471,128,3,3,http://172.31.37.100/sensing/data,6246,0,30
1668842733617,8081,HTTP Request,200,,client-to-application 1-10,text,true,,11329471,128,2,2,http://172.31.37.100/sensing/data,6601,0,24
1668842733612,8114,HTTP Request,200,,client-to-application 1-5,text,true,,11329471,128,1,1,http://172.31.37.100/sensing/data,6618,0,30
1668843017794,7366,HTTP Request,200,,client-to-application 1-3,text,true,,11329471,128,10,10,http://172.31.37.100/sensing/data,5336,0,33
1668843017801,7511,HTTP Request,200,,client-to-application 1-10,text,true,,11329471,128,9,9,http://172.31.37.100/sensing/data,5235,0,23
1668843017804,7628,HTTP Request,200,,client-to-application 1-9,text,true,,11329471,128,8,8,http://172.31.37.100/sensing/data,5653,0,20
1668843017803,7658,HTTP Request,200,,client-to-application 1-6,text,true,,11329471,128,7,7,http://172.31.37.100/sensing/data,6115,0,21
1668843017803,7728,HTTP Request,200,,client-to-application 1-1,text,true,,11329471,128,6,6,http://172.31.37.100/sensing/data,5445,0,24
1668843017799,7739,HTTP Request,200,,client-to-application 1-5,text,true,,11329471,128,5,5,http://172.31.37.100/sensing/data,5552,0,25
1668843017804,7814,HTTP Request,200,,client-to-application 1-2,text,true,,11329471,128,4,4,http://172.31.37.100/sensing/data,6058,0,20
1668843017804,7820,HTTP Request,200,,client-to-application 1-7,text,true,,11329471,128,3,3,http://172.31.37.100/sensing/data,6701,0,20
1668843017804,7823,HTTP Request,200,,client-to-application 1-8,text,true,,11329471,128,2,2,http://172.31.37.100/sensing/data,6714,0,19
1668843017800,7839,HTTP Request,200,,client-to-application 1-4,text,true,,11329471,128,1,1,http://172.31.37.100/sensing/data,6615,0,24
